batch,W-in,W-Out,F,DRC,dB-L,dB-R
26KBI00057,18.78,16.91,0.72,64.8,-19.66,-19.3
26KBI00054,18.71,16.11,0.72,62,-21.01,-21.22
26KBI00058,18.93,17.2,0.72,65.4,-35.62,-35.18
26PPN0097,19.51,17.28,0.72,63.8,-40.55,-40.32
2240-0029,20,16.24,0.72,58.5,-37.35,-37.24
2240-0045,20,16.68,0.72,60,-37.32,-32.75
26PPN00099,19.89,17.84,0.72,64.6,-37.68,-36.73
,,,0.72,#DIV/0!,,
,,,0.72,#DIV/0!,,
,,,0.72,#DIV/0!,,
,,,0.72,#DIV/0!,,
,,,0.72,#DIV/0!,,
,,,0.72,#DIV/0!,,
,,,0.72,#DIV/0!,,
,,,0.72,#DIV/0!,,
,,,0.72,#DIV/0!,,
